cod,fam,sp,dbh,inclin,ori,h,bark_detailed,bark_simp,Y,X,Z,orch_presence,moss_presence
138,Lauraceae,Nectandra.reticulata,3.5,60.0,83.0,5.0,lisa,lisa,710851.644,9558900.476,2279.903,0,1
139,Rubiaceae,Palicourea.angustifolia,1.8,79.0,131.0,3.2,lisa,lisa,710852.393,9558900.472,2279.708,0,1
140,Myrsinaceae,Geissanthus.cf.ecuadorensis,3.0,45.0,139.0,2.4,lisa,lisa,710850.647,9558900.996,2280.637,0,1
141,Myrsinaceae,Geissanthus.cf.ecuadorensis,3.0,70.0,190.0,4.7,estriada,estriada,710850.922,9558900.825,2280.537,0,1
142,Cyatheaceae,Cyathea.peladensis,2.2,35.0,147.0,1.3,estriada,estriada,710852.117,9558903.439,2279.835,0,1
143,Lauraceae,Aniba.sp,2.4,90.0,0.0,2.3,lisa,lisa,710856.823,9558903.329,2278.794,0,1
144,Cunoniaceae,Weinmannia.pubescens,1.6,62.0,147.0,4.8,estriada,estriada,710852.967,9558902.895,2279.238,0,1
145,Moraceae,Helicostylis.tovarensis,1.9,70.0,127.0,2.7,estriada,estriada,710851.083,9558900.559,2280.411,0,0
146,Liana,Liana,1.1,68.0,110.0,4.3,estriada,estriada,710851.021,9558900.702,2280.426,0,0
147,Meliaceae,Ruagea.glabra,1.5,39.0,200.0,1.7,lisa,lisa,710851.467,9558901.878,2280.094,0,0
148,Lauraceae,Aniba.sp,1.8,80.0,0.0,2.3,lisa,lisa,710851.803,9558900.193,2279.966,0,0
149,Myrsinaceae,Geissanthus.cf.ecuadorensis,1.0,90.0,360.0,2.0,estriada,estriada,710852.178,9558900.086,2279.767,0,1
150,Cyatheaceae,Cyathea.peladensis,2.5,60.0,0.0,2.3,estriada,estriada,710853.381,9558901.846,2278.849,0,1
151,Clusiaceae,Clusia.alata,1.5,15.0,125.0,0.5,estriada,estriada,710851.848,9558899.659,2279.592,0,1
152,Melastomataceae,Miconia.sp03,1.0,10.0,120.0,0.5,estriada,estriada,710852.375,9558899.460,2279.274,0,0
153,Rubiaceae,Psychotria.sp1,2.0,15.0,70.0,0.5,lisa,lisa,710851.846,9558900.269,2279.800,0,1
154,Rubiaceae,Palicourea.cf.andrei,5.1,33.0,130.0,3.2,lisa,lisa,710852.059,9558897.965,2279.377,0,0
155,Clethraceae,Clethra.revoluta,3.1,55.0,72.0,1.6,estriada,estriada,710852.200,9558897.312,2278.933,0,1
156,Rubiaceae,Faramea.coerulescens,1.5,75.0,90.0,2.5,lisa,lisa,710851.928,9558899.564,2279.384,0,0
